,amplicon_name,gene_id,analysis_type_id,primer_set_id,exon,amplicon_id
0,A_A A_NGS-1568______,0,0.0,0,,0
1,A_A_ADCK3 A_NGS-0269______,87,0.0,0,,536
2,A_A_B9D1 A_NGS-0779______,88,0.0,0,,537
3,A_A_C5orf42 A_NGS-0783______,89,0.0,0,,538
4,A_A_KCNH2 A_NGS-2188______,90,0.0,0,,539
5,B_A_KCNH2 B_NGS-2188______,90,0.0,1,,5941
6,A_A_KIF7 A_NGS-0778______,91,0.0,0,,540
7,A_A_MKS1 A_NGS-0782______,92,0.0,0,,541
8,A_A_MKS1 A_NGS-0784______,92,0.0,0,,542
9,A_A_TCTN2 A_NGS-0780______,93,0.0,0,,543
10,A_A_ZNF423 A_NGS-0781______,94,0.0,0,,544
11,A_AAAS A_NGS-0666______,1,0.0,0,,1
12,A_AAAS A_NGS-1207______,1,0.0,0,,2
13,A_AAAS A_NGS-1211______,1,0.0,0,,3
14,A_AAAS A_NGS-1216______,1,0.0,0,,4
15,A_AAAS A_NGS-3037______,1,0.0,0,,5
16,A_AAAS A_NGS-3038______,1,0.0,0,,6
17,B_AAAS B_NGS-3037______,1,0.0,1,,5697
18,B_AAAS B_NGS-3038______,1,0.0,1,,5698
19,A_AARS A_NGS-00081_____,2,0.0,0,,7
20,A_AARS A_NGS-00123_____,2,0.0,0,,8
21,A_AARS A_NGS-0180______,2,0.0,0,,9
22,A_AARS A_NGS-0186______,2,0.0,0,,10
23,A_AARS A_NGS-0202______,2,0.0,0,,11
24,A_AARS A_NGS-0579______,2,0.0,0,,12
25,A_AARS A_NGS-0604______,2,0.0,0,,13
26,A_AARS A_NGS-0605______,2,0.0,0,,14
27,A_AARS A_NGS-2309______,2,0.0,0,,15
28,A_AARS A_NGS-2512______,2,0.0,0,,16
29,A_AARS A_NGS-2590______,2,0.0,0,,17
30,A_AARS A_NGS-3257______,2,0.0,0,,18
31,B_AARS B_NGS-3257______,2,0.0,1,,5699
32,A_ABAT A_NGS-1877______,3,0.0,0,,19
33,A_ABAT A_NGS-1888______,3,0.0,0,,20
34,A_ABAT A_NGS-2279______,3,0.0,0,,21
35,B_ABAT B_NGS-2279______,3,0.0,1,,5700
36,A_ABCA4-01,4,1.0,0,1,27
37,A_ABCA4-02,4,1.0,0,2,28
38,A_ABCA4-03,4,1.0,0,3,29
39,A_ABCA4-04,4,1.0,0,4,30
40,A_ABCA4-05,4,1.0,0,5,31
41,A_ABCA4-06,4,1.0,0,6,32
42,A_ABCA4-07,4,1.0,0,7,33
43,A_ABCA4-08,4,1.0,0,8,34
44,A_ABCA4-09,4,1.0,0,9,35
45,A_ABCA4-10,4,1.0,0,10,36
46,A_ABCA4-11,4,1.0,0,11,37
47,A_ABCA4-12,4,1.0,0,12,38
48,A_ABCA4-13,4,1.0,0,13,39
49,A_ABCA4-14,4,1.0,0,14,40
50,A_ABCA4-15,4,1.0,0,15,41
51,A_ABCA4-16,4,1.0,0,16,42
52,A_ABCA4-17,4,1.0,0,17,43
53,A_ABCA4-18,4,1.0,0,18,44
54,A_ABCA4-19,4,1.0,0,19,45
55,A_ABCA4-20,4,1.0,0,20,46
56,A_ABCA4-21,4,1.0,0,21,47
57,A_ABCA4-22,4,1.0,0,22,48
58,A_ABCA4-23,4,1.0,0,23,49
59,A_ABCA4-24,4,1.0,0,24,50
60,A_ABCA4-25,4,1.0,0,25,51
61,A_ABCA4-26,4,1.0,0,26,52
62,A_ABCA4-27,4,1.0,0,27,53
63,A_ABCA4-28,4,1.0,0,28,54
64,A_ABCA4-29,4,1.0,0,29,55
65,A_ABCA4-30,4,1.0,0,30,56
66,A_ABCA4-30A,4,1.0,0,30A,57
67,A_ABCA4-31,4,1.0,0,31,58
68,A_ABCA4-32,4,1.0,0,32,59
69,A_ABCA4-33&34,4,1.0,0,33&34,60
70,A_ABCA4-35,4,1.0,0,35,61
71,A_ABCA4-36,4,1.0,0,36,62
72,A_ABCA4-36A,4,1.0,0,36A,63
73,A_ABCA4-37,4,1.0,0,37,64
74,A_ABCA4-38,4,1.0,0,38,65
75,A_ABCA4-39,4,1.0,0,39,66
76,A_ABCA4-40,4,1.0,0,40,67
77,A_ABCA4-41,4,1.0,0,41,68
78,A_ABCA4-42,4,1.0,0,42,69
79,A_ABCA4-43,4,1.0,0,43,70
80,A_ABCA4-44,4,1.0,0,44,71
81,A_ABCA4-45,4,1.0,0,45,72
82,A_ABCA4-46&47,4,1.0,0,46&47,73
83,A_ABCA4-48,4,1.0,0,48,74
84,A_ABCA4-49,4,1.0,0,49,75
85,A_ABCA4-50,4,1.0,0,50,76
86,A_ABCA4 A_NGS-00143_____,4,0.0,0,,22
87,A_ABCA4 A_NGS-00149_____,4,0.0,0,,23
88,A_ABCA4 A_NGS-00150_____,4,0.0,0,,24
89,A_ABCA4 A_NGS-00151_____,4,0.0,0,,25
90,A_ABCA4 A_NGS-1130______,4,0.0,0,,26
91,B_ABCA4-22,4,1.0,1,22,5701
92,B_ABCA4-23,4,1.0,1,23,5702
93,B_ABCA4-28,4,1.0,1,28,5703
94,B_ABCA4-ABCA4-27,4,1.0,1,ABCA4-27,5704
95,B_ABCA4-ABCA4-28,4,1.0,1,ABCA4-28,5705
96,A_ABCB7 A_NGS-0667______,5,0.0,0,,77
97,A_ABCB7 A_NGS-2469______,5,0.0,0,,78
98,A_ABCB7 A_NGS-3289______,5,0.0,0,,79
99,B_ABCB7 B_NGS-3289______,5,0.0,1,,5706
100,A_ABCD1 A_NGS-2430______,6,0.0,0,,80
101,A_ABHD12 A_NGS-0465______,7,0.0,0,,81
102,A_ABHD12 A_NGS-1516______,7,0.0,0,,82
103,A_ABHD12 A_NGS-1715______,7,0.0,0,,83
104,A_ACAD9 A_NGS-3059______,8,0.0,0,,84
105,B_ACAD9 B_NGS-3059______,8,0.0,1,,5707
106,A_ACAN A_NGS-2945______,9,0.0,0,,85
107,A_ACD A_NGS-2856______,10,0.0,0,,86
108,B_ACD B_NGS-2856______,10,0.0,1,,5708
109,A_ACO2 A_NGS-0698______,11,0.0,0,,87
110,A_ACO2 A_NGS-1593______,11,0.0,0,,88
111,A_ACO2 A_NGS-2343______,11,0.0,0,,89
112,A_ACO2 A_NGS-2577______,11,0.0,0,,90
113,A_ACSF3 A_NGS-3327______,12,0.0,0,,91
114,B_ACSF3 B_NGS-3327______,12,0.0,1,,5709
115,A_ACSL4 A_NGS-3045______,13,0.0,0,,92
116,A_ACTA1-04,14,1.0,0,4,94
117,A_ACTA1 A_NGS-0639______,14,0.0,0,,93
118,B_ACTA1-04,14,1.0,1,4,5711
119,B_ACTA1 B_NGS-0640______,14,0.0,1,,5710
120,A_ACTB A_NGS-1711______,15,0.0,0,,95
121,A_ACTB A_NGS-1846______,15,0.0,0,,96
122,B_ACTB B_NGS-1711______,15,0.0,1,,5712
123,B_ACTB B_NGS-1846______,15,0.0,1,,5713
124,A_ACTC1-02,16,1.0,0,2,97
125,A_ACTC1-03,16,1.0,0,3,98
126,A_ACTC1-04,16,1.0,0,4,99
127,A_ACTC1-05,16,1.0,0,5,100
128,A_ACTC1-06,16,1.0,0,6,101
129,A_ACTC1-07,16,1.0,0,7,102
130,B_ACTC1-02,16,1.0,1,2,5714
131,B_ACTC1-03,16,1.0,1,3,5715
132,B_ACTC1-04,16,1.0,1,4,5716
