,Gene,Chr,gene_id
0,A,3,0
1,A_ADCK3,1,87
2,A_B9D1,17,88
3,A_C5ORF42,5,89
4,A_KCNH2,7,90
6,A_KIF7,15,91
7,A_MKS1,17,92
9,A_TCTN2,12,93
10,A_ZNF423,16,94
11,AAAS,12,1
19,AARS,16,2
32,ABAT,16,3
36,ABCA4,1,4
96,ABCB7,X,5
100,ABCD1,X,6
101,ABHD12,20,7
104,ACAD9,3,8
106,ACAN,15,9
107,ACD,16,10
109,ACO2,22,11
113,ACSF3,16,12
115,ACSL4,X,13
116,ACTA1,1,14
120,ACTB,7,15
124,ACTC1,15,16
136,ACTG1,17,17
138,ACTN1,14,18
159,ACTN2,1,19
224,ACTN4,19,20
226,ACVR1,2,21
227,ACVR2B,3,22
228,ACVRL1 ,12,23
229,ADAR,1,24
233,ADCK3,1,25
241,ADGRV1,5,26
244,ADMATS13,16,27
245,ADNP,20,28
250,AFF2,X,29
254,AFG3L2,18,30
277,AGK,7,31
292,AGL,1,32
294,AGRN,1,33
296,AHDC1,1,34
300,AHI1,6,35
318,AIFM1,X,36
321,AIP,11,37
331,AIPL1,17,38
338,AIRE,21,39
362,AKAP9,7,40
412,ALG13,X,41
416,ALMS1,2,42
422,ALPK3,15,43
464,ALPL1,1,44
465,ALX1,12,45
473,ALX3,1,46
481,ALX4,11,47
491,AMACR,5,48
492,AMER1,X,49
497,AMPD2,1,50
499,AMPD2,17,51
503,ANK1,8,52
506,ANK2,4,53
552,ANKRD1,10,54
571,ANKRD11,16,55
586,ANKRD17,4,56
588,ANKRD26,10,57
590,ANO10,3,58
599,ANT1,4,59
605,AP2M1,3,60
607,AP2S1,19,61
610,AP3B1,5,62
614,AP4B1,1,63
616,AP4M1,7,64
620,APC,5,65
684,APTX,9,66
689,ARID1A,1,67
693,ARID1B,6,68
700,ARID2,12,69
704,ARL13B,3,70
708,ARL2BP,16,71
709,ARL6,3,72
710,ARMC5,16,73
732,ARSA,22,74
737,ARX,X,75
739,ASH1L,1,76
740,ASXL1,20,77
744,ASXL3,18,78
750,ATAD3A,1,79
754,ATCAY,19,80
757,ATM,11,81
797,ATP1A2,1,82
798,ATP1A3,19,83
810,ATP6V1B2 ,8,84
812,ATP7B,13,85
832,ATP8A2,13,86
841,B,6,96
842,B,3,95
843,B2M,15,97
844,B9D1,17,98
845,BAG3,10,99
863,BAP1,3,100
869,BARD1,2,101
875,BBS1,11,102
883,BBS10,12,103
886,BBS12,4,104
887,BBS4,15,105
890,BBS5,2,106
892,BCL11A,2,107
894,BCOR,X,108
898,BCS1L,2,109
912,BEST1,11,110
924,BLOC1S3,19,111
925,BMPR1A,10,112
946,BOLA3,2,113
950,BPTF,17,114
954,BRAF,7,115
956,BRAT1,7,116
962,BRCA1,17,117
1025,BRCA2,13,118
1112,BRIP,17,119
1114,BRIP1,17,121
1116,BRIP1,16,120
1130,BRPF1,3,122
1133,BRWD3,X,123
1136,BTD,3,124
1138,C1QTNF5,11,125
1139,C21ORF2,21,126
1140,C2CD3,11,127
1141,C2ORF71,2,128
1146,C5ORF42,5,129
1173,C5ORF52,5,130
1174,C8ORF37,8,131
1175,CA4,17,132
1177,CABP4,11,133
1180,CACN1AC,12,134
1181,CACNA1A,19,135
1207,CACNA1A,X,136
1217,CACNA1A ,19,137
1218,CACNA1C,12,138
1266,CACNA1E,1,139
1267,CACNA1F,X,140
1283,CACNA2D1,7,141
1291,CACNA2D1 ,7,142
1295,CACNA2D4,12,143
1297,CACNAC1,12,144
1299,CACNB2,10,145
1307,CACNB2 ,10,146
1309,CACNB4,2,147
1316,CALM1,14,148
1318,CALM2,2,149
1322,CAMK2A,5,150
1325,CAMTA1,1,151
1326,CAPN5,11,152
1331,CARD11,7,153
1334,CASK,X,154
1348,CASQ2,1,155
1355,CASR,3,156
1377,CAV3,3,157
1379,CBLC,19,158
1380,CC2D2A,4,159
1417,CCDC102B,18,160
1418,CCDC88C,14,161
1437,CDAN1,15,162
1439,CDC73,1,163
1470,CDH1,15,164
1471,CDH1,16,165
1483,CDH15,16,166
1485,CDH2,18,167
1519,CDH23,10,168
1535,CDH3,16,169
1537,CDHR1,10,170
1547,CDK12,17,171
1548,CDK13,7,172
1552,CDK4,12,173
1554,CDK5RAP2,9,174
1558,CDKL5,X,175
1559,CDKN1A,6,176
1562,CDKN1B,12,177
1568,CDKN2A,9,178
1576,CDKN2B,9,179
1578,CDKN2C,1,180
1581,CDON,11,181
1584,CECR1,22,182
1586,CEP164,11,183
1589,CEP290,12,184
1644,CERKL,2,185
1655,CFH,1,186
1658,CFHR5,1,187
1659,CFTR,7,188
1666,CHAT,10,189
1682,CHCHD10,22,190
1684,CHD2,15,191
1685,CHD3,17,192
1688,CHD4,12,193
1690,CHD5,8,194
1691,CHD7,8,195
1696,CHD8,14,196
1700,CHEK2,22,197
1717,CHM,X,198
1745,CHMP1A,16,199
1748,CHR11,11,200
1759,CHRDL1,X,201
1761,CHRNA,2,202
1778,CHRNA1,2,203
1779,CHRNB,17,204
1800,CHRND,2,205
1823,CHRNE,17,206
1846,CHRNG,2,207
1859,CLCN4,X,208
1860,CLCN7,16,209
1862,CLN6,15,210
1869,CLP1,11,211
1871,CLRN1,3,212
1874,CLTC,17,213
1875,CNGA1,4,214
1879,CNGA3,2,215
1883,CNGB1,16,216
1892,CNGB3,8,217
1903,CNKSR2,X,218
1906,CNOT3,19,219
1907,CNTNAP1,17,220
1908,COASY,17,221
1910,COL18A1,21,222
1917,COL1A1,17,223
1925,COL1A2,7,224
1927,COL2A1,12,225
1931,COL4A1,13,226
1934,COL4A3BP,5,227
1936,COL4A4,2,228
1938,COL4A5,X,229
1939,COL6A1,21,230
1941,COL6A2,21,231
1946,COL6A3,2,232
1947,COL7A1,3,233
1949,COL9A1,6,234
1950,COLQ,3,235
1973,COX20,1,236
1976,CRB1,1,237
1991,CREBBP,16,238
1998,CRX,19,239
2002,CRYAB,11,240
2012,CSNK2A1,20,241
2015,CSNK2B,6,242
2016,CSPP1,8,243
2020,CSRP3,11,244
2030,CTC1,17,245
2034,CTCF,16,246
2035,CTNNB1,3,247
2044,CTPS1,1,248
2046,CTSK,1,249
2047,CUL4B,X,250
2049,CYCS,7,251
2050,CYP11B2,8,252
2052,CYP27A1,2,253
2057,CYP2U1,4,254
2060,CYP4V2,4,255
2063,CYP4V2 ,4,256
2064,DARS2,1,257
2074,DDHD2,8,258
2078,DDX3X,X,259
2087,DES,2,260
2103,DFNA5,7,261
2104,DGKE,17,262
2105,DGUOK,2,263
2119,DHTKD1,10,264
2121,DLAT,11,265
2134,DLD,7,266
2147,DLG1,3,267
2149,DLG3,X,268
2150,DLL4,15,269
2152,DMD,X,270
2332,DNA2,10,271
2354,DNAJC5,20,272
2362,DNM1,9,273
2366,DNM1L,12,274
2368,DNM2,19,275
2370,DNMT1,1,276
2371,DNMT1,19,277
2383,DOCK8,9,278
2389,DOK7,11,279
2390,DOK7,4,280
2401,DOLK,9,281
2403,DPAGT1,11,282
2411,DSC2,18,283
2444,DSG1,18,284
2445,DSG2,18,285
2483,DSP,6,286
2572,DTNA,18,287
2573,DTNBP1,6,288
2578,DVL1,1,289
2584,DVL2,17,290
2586,DVL3,3,291
2592,DYNC1H1,14,292
2599,DYRK1A,21,293
2610,EBF3,10,294
2611,EDNRA,4,295
2613,EEF1A2,20,296
2614,EFEMP1,2,297
2618,EFNB1,X,298
2627,EFTUD2,17,299
2631,EHMT1,9,300
2633,EIF2AK4,15,301
2637,EIF2B4,2,302
2639,EIF3F,11,303
2640,ELANE,19,304
2645,ELN,7,305
2647,ELOV5,6,306
2648,ELOVL4,6,307
2649,ELOVL5,6,308
2653,EMX2,10,309
2659,ENG,9,310
2662,EP300,22,311
2669,EPB42,15,312
2670,EPG5,18,313
2672,ERCC6,10,314
2673,ERCC6L2,9,315
2675,ERF,19,316
2683,ESCO2,8,317
2684,EXOSC3,9,319
2686,EXOSC3,6,318
2688,EYS,6,320
2710,F10,13,321
2719,F11,4,322
2734,F13,6,323
2748,F5,1,324
2778,F7,13,325
2787,F8,X,326
2821,F9,X,327
2832,FAH,12,328
2833,FAM126A,7,329
2835,FAM161A,2,330
2836,FAM20C,7,331
2837,FANCL,2,332
2838,FARS2,6,333
2840,FAT4,4,334
2844,FBXL4,6,335
2851,FBXO11,2,336
2852,FECH,18,337
2853,FGA,4,338
2867,FGB,4,339
2875,FGD1,X,340
2877,FGF10,5,341
2880,FGF14,13,342
2882,FGFR1,8,343
2888,FGFR2,10,344
2910,FGFR3,4,345
2921,FGG,4,346
2929,FH,1,347
2950,FHL1,X,348
2962,FHL2,2,349
2972,FHOD3,18,350
2988,FIG4,6,351
2990,FLCN,17,352
2993,FLNA,X,353
3085,FLNB,3,354
3087,FLNC,7,355
3201,FLVCR1,1,356
3208,FOXC1,6,357
3212,FOXF1,16,358
3214,FOXN1,17,359
3215,FOXP1,3,360
3216,FOXP2,7,361
3217,FOXP3,X,362
3218,FREM1,9,363
3220,FRMPD4,X,364
3222,FSCN2,17,365
3226,FTL,19,366
3227,FZD4,11,367
3232,G6PC3,17,368
3235,GAA,17,369
3237,GABRA1,5,370
3239,GABRB2,5,371
3243,GABRB3,15,372
3245,GABRG2,5,373
3247,GATA1,X,374
3248,GATA2,3,375
3250,GATA3,10,376
3262,GATAD2B,1,377
3267,GBA2,9,378
3273,GCM2,6,379
3284,GDF5,20,380
3289,GEMIN5,16,381
3291,GFI1B,9,382
3293,GFPT1,2,383
3312,GGCX,2,384
3324,GJA8,1,385
3326,GJB1,X,386
3332,GJB2,13,387
3333,GLA,X,388
3349,GLI3,7,389
3381,GLRX5,14,390
3383,GLUD1,10,391
3385,GNA11,19,392
3393,GNAO1,16,393
3407,GNAO1 ,16,394
3409,GNAS,20,395
3410,GNAT1,3,396
3412,GNAT2,1,397
3414,GNPTG,16,398
3415,GP6,19,399
3424,GP9,3,400
3425,GPD1L,3,401
3427,GPD1L,4,402
3429,GPR143,X,403
3433,GPR179,17,404
3443,GPR98,5,405
3450,GPT2,16,406
3452,GREM1,15,407
3454,GRID2,4,408
3464,GRIN2A,16,409
3468,GRIN2B,12,410
3477,GRIN2D,19,411
3479,GRK1,13,412
3483,GRM1,6,413
3488,GRM6,5,414
3493,GRXCR2,5,415
3494,GUCA1A,6,416
3498,GUCA1B,6,417
3502,GUCY2D,17,418
3517,GZF1,20,419
3518,HADHA,2,420
3520,HBA1,16,421
3522,HBA2,16,422
3524,HBB,11,423
3533,HBD,11,424
3536,HBG,11,425
3538,HBG1,11,426
3540,HBG2,11,427
3542,HCFC1,13,428
3543,HCFC1,X,429
3546,HCN4,15,430
3564,HDAC8,X,431
3567,HECW2,2,432
3571,HESX1,3,433
3572,HEXA,15,434
3577,HEXB,5,435
3587,HIBCH,2,436
3591,HINT1,5,437
3592,HIST1H1E,6,438
3594,HJV,1,439
3597,HK1,10,440
3599,HNRHPK,9,441
3600,HNRNPH2,X,442
3602,HNRNPK,9,443
3603,HOXD13,2,444
3610,HPS1,10,445
3613,HPS3,3,446
3619,HPS4,22,447
3627,HPS5,11,448
3630,HRG,3,449
3631,HUWE1,X,450
3637,HYLS1,11,451
3638,IBA57,1,452
3641,IDH1,2,453
3642,IDH3B,20,454
3645,IFT140,16,455
3648,IFT140  ,16,456
3649,IL11RA,9,457
3669,IL12B,5,458
3673,IMPDH1,7,459
3680,IMPG1,3,460
3681,IMPG1,6,461
3689,IMPG2,3,462
3701,INPP5E,9,463
3709,INVS,9,464
3710,IQCB1,3,465
3714,IQSEC,X,466
3716,IQSEC2,X,467
3719,ITF140,16,468
3721,ITGA2B,17,469
3753,ITGB3,17,470
3768,ITPR1,3,472
3796,ITPR1,17,471
3797,JAG1,20,473
3798,JPH2,20,474
3804,JUP,17,475
3827,KAT6A,8,476
3840,KAT6B,10,477
3843,KCNA1,12,478
3849,KCNB1,20,479
3851,KCNC1,11,480
3853,KCNC3,19,481
3861,KCND3,1,482
3872,KCNE1,21,483
3875,KCNE1L,X,484
3878,KCNE2,21,485
3884,KCNE3,11,486
3886,KCNH2,7,487
3923,KCNJ10,1,488
3924,KCNJ11,11,489
3926,KCNJ13,2,490
3928,KCNJ2,17,491
3938,KCNJ5,11,492
3943,KCNJ8,12,493
3947,KCNK9,8,494
3949,KCNQ1,11,495
3985,KCNQ2,20,496
3991,KCNQ3,8,497
3993,KCNQ4,1,498
3994,KCNT1,9,499
3997,KCNV2,9,500
4001,KDM5B,1,501
4005,KDM5C,X,502
4006,KDMB5,1,503
4008,KDR,4,504
4009,KIAA0226,3,506
4010,KIAA0226,1,505
4017,KIAA0568,14,507
4019,KIAA0586,14,508
4023,KIDDINS220,2,509
4025,KIDINS220,2,510
4027,KIF1,10,511
4028,KIF1A,2,512
4029,KIF23,15,513
4030,KIF2A,5,514
4032,KIF5A,12,515
4037,KIF7,15,516
4049,KIT,4,517
4055,KLF1,19,518
4056,KLKB1,4,519
4057,KLLN,10,520
4058,KMT2A,11,521
4073,KMT2B,19,522
4074,KMT2D,12,523
4084,KMT5B,11,524
4086,KPTN,19,525
4091,L1CAM,X,526
4093,LAMA4,6,527
4095,LAMC3,9,528
4099,LAMP2,X,529
4132,LARP7,4,530
4133,LIAS,4,531
4143,LIM2,19,532
4145,LIPT1,2,533
4149,LIPT2,11,534
4151,LMNA,1,535
4175,LONP1,19,536
4177,LOXHD1,18,537
4182,LPL,8,538
4183,LRIT3,4,539
4185,LRP5,11,540
4195,LRP6,12,541
4197,LRPS,11,542
4198,LTRZ1,22,543
4200,LYST,1,544
4203,LZTR1,22,545
4208,MAK,6,546
4211,MALVELD2,5,547
4212,MAN1B1,9,548
4216,MAN2B1,19,549
4220,MAP3K1,5,550
4222,MARVELD2,5,551
4223,MAX,14,552
4228,MCM10,10,553
4229,MECP2,X,554
4233,MED12,X,555
4234,MED13L,12,556
4236,MEF2C,5,557
4240,MEN1,11,558
4260,MERTK,2,559
4268,MET,7,560
4276,MFN2,1,561
4290,MGME1,20,562
4294,MITF,3,563
4295,MKKS,20,564
4297,MKS1,17,566
4301,MKS1,15,565
4303,MLH1,3,567
4342,MMAB,12,568
4344,MORC2,22,569
4346,MPV17,2,570
4357,MRAP,21,571
4358,MRE11A,11,572
4364,MSH2,2,573
4398,MSH6,2,574
4432,MSTO1,1,575
4433,MSX1,4,576
4434,MSX2,5,577
4438,MTDNA,M,579
4474,MTOR,1,580
4475,MTPAP,10,581
4480,MT-TI,M,578
4481,MUTYH,1,582
4493,MYBPC3,11,583
4583,MYH14,19,584
4584,MYH3,17,585
4586,MYH6,14,586
4590,MYH7,14,587
4664,MYH9,22,588
4702,MYL2,12,589
4714,MYL3,3,590
4724,MYO15A,17,591
4725,MYO5B,18,592
4727,MYO7A,11,593
4747,NAGLU,17,594
4749,NALCN,13,595
4751,NBEA,13,596
4752,NBEAL2,3,597
4760,NBN,8,598
4762,NDP,X,599
4764,NDUFA6,22,600
4766,NDUFS2,1,601
4767,NDUFS6,5,602
4769,NDUFS8,11,603
4771,NDUFV1,11,604
4772,NEK8,17,605
4773,NEU1,6,606
