,imported_by,imported_by_id
0,PW,39
2,SC,41
3,EP,13
4,MS,38
6,CNS,8
13,JPW,31
21,SR,42
32,CS,9
33,CF,6
34,KS,33
91,JAW,23
104,MO,37
105,DU,12
111,BB,2
134,EW/MB,17
155,JH,28
223,JMT,29
285,TL,46
310,JMT ,30
312,TC,44
324,HM,21
329,HB,18
361,HDS,19
411,LIW,34
453,HL,20
492,AF,0
569,EW,16
627,JG,27
662,JEG,26
682,BDD,3
736,TB,43
762,EPP,15
765,AR,1
881,JAW ,24
904,WITOLD,47
920,MB,36
1194,TEL,45
1248,LW,35
1570,BM,5
1628,CLHS,7
1913,EP ,14
1976,PW ,40
2081,J,22
5355,BDD ,4
7180,JW,32
7514,JAW & DB,25
7515,DB/JAW,11
7519,DB/AJL,10
