,amplicon_name,gene_id,analysis_type_id,primer_set_id,exon,amplicon_id
0,A_GDF5-02c,39,1,0,02c,116
1,A_GEMIN5 A_NGS-2207______,40,0,0,,117
2,A_GEMIN5 A_NGS-2208______,40,0,0,,118
3,A_GFI1B A_NGS-3097______,41,0,0,,119
4,A_GFPT1-01,42,1,0,1,120
5,A_GFPT1-02,42,1,0,2,121
6,A_GFPT1-03,42,1,0,3,122
7,A_GFPT1-04,42,1,0,4,123
8,A_GFPT1-05,42,1,0,5,124
9,A_GFPT1-06,42,1,0,6,125
10,A_GFPT1-07,42,1,0,7,126
11,A_GFPT1-08&9,42,1,0,08&9,127
12,A_GFPT1-10,42,1,0,10,128
13,A_GFPT1-11,42,1,0,11,129
14,A_GFPT1-12,42,1,0,12,130
15,A_GFPT1-13,42,1,0,13,131
16,A_GFPT1-14,42,1,0,14,132
17,A_GFPT1-15,42,1,0,15,133
18,A_GFPT1-16,42,1,0,16,134
19,A_GFPT1-17,42,1,0,17,135
20,A_GFPT1-18,42,1,0,18,136
21,A_GFPT1-19,42,1,0,19,137
22,A_GFPT1-20,42,1,0,20,138
23,A_GGCX-01,43,1,0,1,139
24,A_GGCX-02,43,1,0,2,140
25,A_GGCX-03,43,1,0,3,141
26,A_GGCX-04,43,1,0,4,142
27,A_GGCX-05,43,1,0,5,143
28,A_GGCX-06,43,1,0,6,144
29,A_GGCX-07,43,1,0,7,145
30,A_GGCX-08&09,43,1,0,08&09,146
31,A_GGCX-10,43,1,0,10,147
32,A_GGCX-11&12,43,1,0,11&12,148
33,A_GGCX-13&14,43,1,0,13&14,149
34,A_GGCX-15,43,1,0,15,150
35,A_GJA8 A_NGS-2010______,44,0,0,,151
36,B_GJA8 B_NGS-2010______,44,0,1,,3572
37,A_GJB1-A_GJB1-02.01,45,1,0,A_GJB1-02.01,154
38,A_GJB1-A-GJB1-02.02,45,1,0,A-GJB1-02.02,152
39,A_GJB1-A-GJB1-02.03,45,1,0,A-GJB1-02.03,153
40,B_GJB1-B_GJB1-02.01,45,1,1,B_GJB1-02.01,3573
41,B_GJB1-B_GJB1-02.02,45,1,1,B_GJB1-02.02,3574
42,B_GJB1-B_GJB1-02.03,45,1,1,B_GJB1-02.03,3575
43,A_GLA-01,46,1,0,1,155
44,A_GLA-02,46,1,0,2,156
45,A_GLA-03,46,1,0,3,157
46,A_GLA-04,46,1,0,4,158
47,A_GLA-04int,46,1,0,04int,159
48,A_GLA-05,46,1,0,5,160
49,A_GLA-06,46,1,0,6,161
50,A_GLA-07,46,1,0,7,162
51,B_GLA-01,46,1,1,1,3576
52,B_GLA-02,46,1,1,2,3577
53,B_GLA-03,46,1,1,3,3578
54,B_GLA-04,46,1,1,4,3579
55,B_GLA-04int,46,1,1,04int,3580
56,B_GLA-05,46,1,1,5,3581
